,raw_time,raw_win_pct,clean_time,PHI_win_pct
75,12:18 - 3rd),PHI 60.8%,1962,60.8
76,12:06 - 3rd),PHI 68.4%,1974,68.4
77,11:19 - 3rd),PHI 72.0%,2021,72.0
78,10:41 - 3rd),PHI 69.3%,2059,69.3
79,10:37 - 3rd),PHI 75.3%,2063,75.3
80,9:59 - 3rd) ,PHI 77.1%,2101,77.1
81,9:28 - 3rd) ,PHI 75.9%,2132,75.9
82,8:48 - 3rd) ,PHI 78.3%,2172,78.3
83,8:02 - 3rd) ,PHI 81.8%,2218,81.8
84,6:54 - 3rd) ,PHI 81.5%,2286,81.5
85,6:34 - 3rd) ,PHI 79.8%,2306,79.8
86,6:26 - 3rd) ,PHI 76.1%,2314,76.1
87,6:20 - 3rd) ,PHI 74.1%,2320,74.1
88,6:05 - 3rd) ,PHI 80.1%,2335,80.1
89,4:55 - 3rd) ,PHI 68.6%,2405,68.6
90,4:23 - 3rd) ,PHI 78.0%,2437,78.0
91,4:19 - 3rd) ,PHI 72.2%,2441,72.2
92,3:34 - 3rd) ,PHI 74.7%,2486,74.7
93,3:23 - 3rd) ,PHI 65.9%,2497,65.9
94,2:38 - 3rd) ,PHI 63.2%,2542,63.2
95,2:07 - 3rd) ,PHI 65.0%,2573,65.0
96,1:21 - 3rd) ,PHI 76.3%,2619,76.3
97,0:52 - 3rd) ,PHI 83.6%,2648,83.6
98,0:32 - 3rd) ,PHI 81.7%,2668,81.7
99,0:00 - 3rd) ,PHI 82.1%,2700,82.1
100,14:55 - 4th),PHI 92.0%,2705,92.0
101,14:20 - 4th),PHI 90.1%,2740,90.1
102,13:30 - 4th),PHI 91.2%,2790,91.2
103,12:47 - 4th),PHI 93.0%,2833,93.0
104,12:04 - 4th),PHI 88.3%,2876,88.3
105,11:24 - 4th),PHI 91.3%,2916,91.3
106,11:18 - 4th),PHI 90.7%,2922,90.7
107,10:37 - 4th),PHI 87.5%,2963,87.5
108,9:50 - 4th) ,PHI 90.1%,3010,90.1
109,9:45 - 4th) ,PHI 91.1%,3015,91.1
110,9:42 - 4th) ,PHI 85.9%,3018,85.9
111,9:04 - 4th) ,PHI 87.2%,3056,87.2
112,8:04 - 4th) ,PHI 81.5%,3116,81.5
113,7:18 - 4th) ,PHI 78.1%,3162,78.1
114,6:48 - 4th) ,PHI 79.8%,3192,79.8
115,6:05 - 4th) ,PHI 74.9%,3235,74.9
116,5:58 - 4th) ,PHI 77.0%,3242,77.0
117,5:45 - 4th) ,PHI 74.6%,3255,74.6
118,4:38 - 4th) ,PHI 70.2%,3322,70.2
119,4:27 - 4th) ,PHI 75.6%,3333,75.6
120,4:23 - 4th) ,PHI 84.4%,3337,84.4
121,3:41 - 4th) ,PHI 83.9%,3379,83.9
122,3:33 - 4th) ,PHI 67.2%,3387,67.2
123,3:29 - 4th) ,PHI 91.4%,3391,91.4
124,3:16 - 4th) ,PHI 86.6%,3404,86.6
125,3:06 - 4th) ,PHI 87.7%,3414,87.7
126,3:01 - 4th) ,PHI 58.0%,3419,58.0
127,2:15 - 4th) ,PHI 84.5%,3465,84.5
128,2:03 - 4th) ,PHI 77.8%,3477,77.8
129,1:57 - 4th) ,PHI 82.5%,3483,82.5
130,1:53 - 4th) ,PHI 70.6%,3487,70.6
131,1:26 - 4th) ,PHI 83.3%,3514,83.3
132,1:22 - 4th) ,PHI 99.9%,3518,99.9
133,1:16 - 4th) ,PHI 99.9%,3524,99.9
134,0:38 - 4th) ,PHI 99.9%,3562,99.9
135,0:00 - 4th) ,PHI 100%,3600,100.0
