,raw_time,raw_win_pct,clean_time,PHI_win_pct
88,15:00 - 4th),KC 70.3%,2700,29.700000000000003
89,14:57 - 4th),KC 59.7%,2703,40.3
90,14:17 - 4th),KC 53.7%,2743,46.3
91,13:18 - 4th),KC 56.5%,2802,43.5
92,12:14 - 4th),KC 68.7%,2866,31.299999999999997
93,12:06 - 4th),KC 61.6%,2874,38.4
94,11:57 - 4th),KC 61.9%,2883,38.1
95,11:49 - 4th),KC 57.7%,2891,42.3
96,11:46 - 4th),KC 59.7%,2894,40.3
97,11:07 - 4th),KC 52.7%,2933,47.3
98,10:54 - 4th),PHI 50.3%,2946,50.3
99,10:09 - 4th),KC 55.3%,2991,44.7
100,9:28 - 4th) ,KC 57.1%,3032,42.9
101,9:16 - 4th) ,KC 67.6%,3044,32.400000000000006
102,8:40 - 4th) ,KC 71.9%,3080,28.099999999999994
103,7:53 - 4th) ,KC 75.8%,3127,24.200000000000003
104,7:16 - 4th) ,KC 77.3%,3164,22.700000000000003
105,6:25 - 4th) ,KC 90.2%,3215,9.799999999999997
106,5:44 - 4th) ,KC 91.6%,3256,8.400000000000006
107,5:33 - 4th) ,KC 93.4%,3267,6.599999999999994
108,5:27 - 4th) ,KC 91.0%,3273,9.0
109,4:42 - 4th) ,KC 98.1%,3318,1.9000000000000057
110,4:36 - 4th) ,KC 98.5%,3324,1.5
111,3:52 - 4th) ,KC 99.1%,3368,0.9000000000000057
112,3:10 - 4th) ,KC 99.9%,3410,0.09999999999999432
113,2:14 - 4th) ,KC 99.9%,3466,0.09999999999999432
114,2:00 - 4th) ,KC 99.9%,3480,0.09999999999999432
115,1:37 - 4th) ,KC 99.9%,3503,0.09999999999999432
116,1:33 - 4th) ,KC 99.9%,3507,0.09999999999999432
117,1:22 - 4th) ,KC 99.9%,3518,0.09999999999999432
118,1:08 - 4th) ,KC 99.9%,3532,0.09999999999999432
119,0:54 - 4th) ,KC 99.9%,3546,0.09999999999999432
120,0:49 - 4th) ,KC 99.9%,3551,0.09999999999999432
121,0:28 - 4th) ,KC 99.9%,3572,0.09999999999999432
122,0:18 - 4th) ,KC 99.9%,3582,0.09999999999999432
123,0:08 - 4th) ,KC 98.8%,3592,1.2000000000000028
124,0:00 - 4th) ,KC 100%,3600,0.0
