,raw_time,raw_win_pct,clean_time,HOU_win_pct
114,10:47 - 4th),HOU 55.7%,2953,55.7
115,10:18 - 4th),CIN 56.8%,2982,43.2
116,10:05 - 4th),CIN 54.8%,2995,45.2
117,9:53 - 4th) ,HOU 50.2%,3007,50.2
118,9:48 - 4th) ,CIN 51.2%,3012,48.8
119,9:08 - 4th) ,HOU 59.0%,3052,59.0
120,8:26 - 4th) ,HOU 56.6%,3094,56.6
121,8:20 - 4th) ,HOU 60.9%,3100,60.9
122,7:49 - 4th) ,HOU 56.2%,3131,56.2
123,7:44 - 4th) ,HOU 54.3%,3136,54.3
124,7:15 - 4th) ,HOU 63.2%,3165,63.2
125,7:01 - 4th) ,HOU 60.0%,3179,60.0
126,6:31 - 4th) ,HOU 58.8%,3209,58.8
127,6:25 - 4th) ,HOU 67.4%,3215,67.4
128,5:46 - 4th) ,HOU 65.4%,3254,65.4
129,5:04 - 4th) ,HOU 76.1%,3296,76.1
130,4:22 - 4th) ,HOU 81.3%,3338,81.3
131,4:14 - 4th) ,HOU 80.6%,3346,80.6
132,3:40 - 4th) ,HOU 69.3%,3380,69.3
133,3:33 - 4th) ,HOU 68.7%,3387,68.7
134,2:51 - 4th) ,HOU 71.9%,3429,71.9
135,2:09 - 4th) ,HOU 92.0%,3471,92.0
136,1:56 - 4th) ,HOU 80.5%,3484,80.5
137,1:50 - 4th) ,HOU 75.5%,3490,75.5
138,1:42 - 4th) ,HOU 75.1%,3498,75.1
139,1:20 - 4th) ,HOU 86.2%,3520,86.2
140,1:13 - 4th) ,HOU 98.9%,3527,98.9
141,1:02 - 4th) ,HOU 98.1%,3538,98.1
142,0:57 - 4th) ,HOU 97.0%,3543,97.0
143,0:12 - 4th) ,HOU 99.9%,3588,99.9
144,0:00 - 4th) ,HOU 100%,3600,100.0
