,raw_time,raw_win_pct,clean_time,ATL_win_pct
78,2:19 - 3rd) ,ATL 65.3%,2561,65.3
79,2:05 - 3rd) ,ATL 68.8%,2575,68.8
80,1:21 - 3rd) ,ATL 60.7%,2619,60.7
81,0:56 - 3rd) ,ATL 63.0%,2644,63.0
82,0:19 - 3rd) ,ATL 57.4%,2681,57.4
83,15:00 - 4th),ATL 66.2%,2700,66.2
84,14:30 - 4th),ATL 64.2%,2730,64.2
85,13:48 - 4th),ATL 74.6%,2772,74.6
86,13:04 - 4th),ATL 66.7%,2816,66.7
87,12:54 - 4th),ATL 68.6%,2826,68.6
88,12:13 - 4th),ATL 65.9%,2867,65.9
89,11:55 - 4th),ATL 90.9%,2885,90.9
90,11:17 - 4th),ATL 89.4%,2923,89.4
91,10:41 - 4th),ATL 91.1%,2959,91.1
92,10:36 - 4th),ATL 86.3%,2964,86.3
93,9:56 - 4th) ,ATL 88.4%,3004,88.4
94,9:46 - 4th) ,ATL 85.8%,3014,85.8
95,9:43 - 4th) ,ATL 87.4%,3017,87.4
96,8:57 - 4th) ,ATL 86.4%,3063,86.4
97,8:10 - 4th) ,ATL 83.9%,3110,83.9
98,7:26 - 4th) ,ATL 70.2%,3154,70.2
99,7:21 - 4th) ,ATL 68.5%,3159,68.5
100,7:16 - 4th) ,ATL 82.3%,3164,82.3
101,6:38 - 4th) ,ATL 77.7%,3202,77.7
102,5:57 - 4th) ,ATL 83.1%,3243,83.1
103,5:20 - 4th) ,ATL 85.8%,3280,85.8
104,4:53 - 4th) ,ATL 82.9%,3307,82.9
105,4:17 - 4th) ,ATL 81.9%,3343,81.9
106,4:10 - 4th) ,ATL 79.5%,3350,79.5
107,3:24 - 4th) ,ATL 80.9%,3396,80.9
108,3:18 - 4th) ,ATL 85.5%,3402,85.5
109,3:11 - 4th) ,ATL 84.1%,3409,84.1
110,2:27 - 4th) ,ATL 75.2%,3453,75.2
111,2:00 - 4th) ,ATL 76.5%,3480,76.5
112,1:35 - 4th) ,ATL 75.3%,3505,75.3
113,1:15 - 4th) ,ATL 70.8%,3525,70.8
114,0:56 - 4th) ,ATL 86.7%,3544,86.7
115,0:46 - 4th) ,ATL 72.4%,3554,72.4
116,0:39 - 4th) ,ATL 67.2%,3561,67.2
117,0:26 - 4th) ,CHI 70.0%,3574,30.0
118,0:16 - 4th) ,ATL 50.6%,3584,50.6
119,0:08 - 4th) ,ATL 99.9%,3592,99.9
120,0:00 - 4th) ,ATL 100%,3600,100.0
