,raw_time,raw_win_pct,clean_time,PHI_win_pct
91,1:01 - 3rd) ,PHI 55.4%,2639,55.4
92,0:52 - 3rd) ,PHI 57.6%,2648,57.6
93,0:10 - 3rd) ,PHI 56.8%,2690,56.8
94,15:00 - 4th),PHI 53.4%,2700,53.4
95,14:51 - 4th),PHI 57.3%,2709,57.3
96,14:46 - 4th),WSH 51.1%,2714,48.9
97,14:31 - 4th),PHI 52.0%,2729,52.0
98,13:49 - 4th),WSH 60.5%,2771,39.5
99,13:06 - 4th),WSH 60.6%,2814,39.4
100,12:34 - 4th),WSH 57.9%,2846,42.1
101,12:21 - 4th),PHI 58.0%,2859,58.0
102,11:42 - 4th),PHI 59.2%,2898,59.2
103,10:59 - 4th),PHI 64.8%,2941,64.8
104,10:17 - 4th),PHI 60.6%,2983,60.6
105,9:33 - 4th) ,PHI 58.9%,3027,58.9
106,9:27 - 4th) ,PHI 71.9%,3033,71.9
107,8:40 - 4th) ,PHI 70.0%,3080,70.0
108,8:07 - 4th) ,PHI 66.1%,3113,66.1
109,7:22 - 4th) ,PHI 61.4%,3158,61.4
110,6:51 - 4th) ,PHI 65.4%,3189,65.4
111,6:43 - 4th) ,PHI 72.1%,3197,72.1
112,6:39 - 4th) ,PHI 73.2%,3201,73.2
113,5:59 - 4th) ,PHI 77.8%,3241,77.8
114,5:46 - 4th) ,PHI 81.7%,3254,81.7
115,4:17 - 4th) ,PHI 75.1%,3343,75.1
116,3:33 - 4th) ,PHI 76.4%,3387,76.4
117,2:49 - 4th) ,PHI 90.5%,3431,90.5
118,2:02 - 4th) ,PHI 83.3%,3478,83.3
119,1:59 - 4th) ,PHI 78.5%,3481,78.5
120,1:38 - 4th) ,PHI 81.6%,3502,81.6
121,1:29 - 4th) ,PHI 99.9%,3511,99.9
122,1:24 - 4th) ,PHI 99.9%,3516,99.9
123,1:00 - 4th) ,PHI 99.9%,3540,99.9
124,0:52 - 4th) ,PHI 99.9%,3548,99.9
125,0:40 - 4th) ,PHI 99.9%,3560,99.9
126,0:35 - 4th) ,PHI 99.9%,3565,99.9
127,0:25 - 4th) ,PHI 99.9%,3575,99.9
128,0:24 - 4th) ,PHI 99.9%,3576,99.9
129,0:00 - 4th) ,PHI 100%,3600,100.0
