,raw_time,raw_win_pct,clean_time,PIT_win_pct
86,0:31 - 3rd) ,PIT 96.8%,2669,96.8
87,0:18 - 3rd) ,PIT 96.3%,2682,96.3
88,15:00 - 4th),PIT 95.9%,2700,95.9
89,14:41 - 4th),PIT 95.7%,2719,95.7
90,14:20 - 4th),PIT 94.1%,2740,94.1
91,14:03 - 4th),PIT 92.3%,2757,92.3
92,13:36 - 4th),PIT 89.0%,2784,89.0
93,13:01 - 4th),PIT 88.1%,2819,88.1
94,12:53 - 4th),PIT 87.9%,2827,87.9
95,12:08 - 4th),PIT 90.5%,2872,90.5
96,11:33 - 4th),PIT 89.9%,2907,89.9
97,10:57 - 4th),PIT 92.2%,2943,92.2
98,10:21 - 4th),PIT 93.4%,2979,93.4
99,9:46 - 4th) ,PIT 90.6%,3014,90.6
100,9:09 - 4th) ,PIT 91.2%,3051,91.2
101,8:33 - 4th) ,PIT 90.8%,3087,90.8
102,8:28 - 4th) ,PIT 95.8%,3092,95.8
103,7:53 - 4th) ,PIT 86.8%,3127,86.8
104,7:24 - 4th) ,PIT 86.5%,3156,86.5
105,6:39 - 4th) ,PIT 98.0%,3201,98.0
106,5:48 - 4th) ,PIT 99.2%,3252,99.2
107,5:32 - 4th) ,PIT 99.6%,3268,99.6
108,5:20 - 4th) ,PIT 99.7%,3280,99.7
109,5:15 - 4th) ,PIT 99.7%,3285,99.7
110,4:26 - 4th) ,PIT 99.9%,3334,99.9
111,4:17 - 4th) ,PIT 99.9%,3343,99.9
112,3:32 - 4th) ,PIT 99.9%,3388,99.9
113,3:25 - 4th) ,PIT 99.9%,3395,99.9
114,3:19 - 4th) ,PIT 100%,3401,100.0
115,2:34 - 4th) ,PIT 100%,3446,100.0
116,2:00 - 4th) ,PIT 100%,3480,100.0
117,1:54 - 4th) ,PIT 100%,3486,100.0
118,1:49 - 4th) ,PIT 100%,3491,100.0
119,1:26 - 4th) ,PIT 100%,3514,100.0
120,0:59 - 4th) ,PIT 100%,3541,100.0
121,0:50 - 4th) ,PIT 100%,3550,100.0
122,0:26 - 4th) ,PIT 100%,3574,100.0
123,0:18 - 4th) ,PIT 100%,3582,100.0
124,0:00 - 4th) ,PIT 100%,3600,100.0
