,raw_time,raw_win_pct,clean_time,MIN_win_pct
60,1:14 - 2nd) ,TEN 68.5%,1726,31.5
61,1:04 - 2nd) ,TEN 72.1%,1736,27.900000000000006
62,0:53 - 2nd) ,TEN 69.2%,1747,30.799999999999997
63,0:41 - 2nd) ,TEN 78.4%,1759,21.599999999999994
64,0:37 - 2nd) ,TEN 78.9%,1763,21.099999999999994
65,0:25 - 2nd) ,TEN 78.1%,1775,21.900000000000006
66,0:20 - 2nd) ,TEN 76.2%,1780,23.799999999999997
67,0:09 - 2nd) ,TEN 76.7%,1791,23.299999999999997
68,15:00 - 3rd),TEN 68.6%,1800,31.400000000000006
69,14:49 - 3rd),TEN 74.2%,1811,25.799999999999997
70,14:43 - 3rd),TEN 74.4%,1817,25.599999999999994
71,14:06 - 3rd),TEN 76.9%,1854,23.099999999999994
72,13:56 - 3rd),TEN 73.5%,1864,26.5
73,13:51 - 3rd),TEN 73.9%,1869,26.099999999999994
74,13:17 - 3rd),TEN 74.4%,1903,25.599999999999994
75,12:33 - 3rd),TEN 69.0%,1947,31.0
76,11:39 - 3rd),TEN 70.4%,2001,29.599999999999994
77,11:30 - 3rd),TEN 74.0%,2010,26.0
78,10:44 - 3rd),TEN 68.4%,2056,31.599999999999994
79,10:03 - 3rd),TEN 70.6%,2097,29.400000000000006
80,9:24 - 3rd) ,TEN 65.9%,2136,34.099999999999994
81,8:57 - 3rd) ,TEN 63.7%,2163,36.3
82,8:25 - 3rd) ,TEN 64.3%,2195,35.7
83,7:49 - 3rd) ,TEN 61.2%,2231,38.8
84,7:16 - 3rd) ,TEN 64.1%,2264,35.900000000000006
85,7:12 - 3rd) ,TEN 66.1%,2268,33.900000000000006
86,6:32 - 3rd) ,TEN 67.1%,2308,32.900000000000006
87,5:59 - 3rd) ,TEN 69.2%,2341,30.799999999999997
88,5:53 - 3rd) ,TEN 62.1%,2347,37.9
89,5:11 - 3rd) ,TEN 69.6%,2389,30.400000000000006
90,4:33 - 3rd) ,TEN 74.8%,2427,25.200000000000003
91,3:54 - 3rd) ,TEN 69.1%,2466,30.900000000000006
92,3:24 - 3rd) ,TEN 73.2%,2496,26.799999999999997
93,2:44 - 3rd) ,TEN 78.1%,2536,21.900000000000006
94,2:02 - 3rd) ,TEN 80.8%,2578,19.200000000000003
95,1:24 - 3rd) ,MIN 62.4%,2616,62.4
96,0:45 - 3rd) ,MIN 64.2%,2655,64.2
97,0:35 - 3rd) ,MIN 65.5%,2665,65.5
98,0:22 - 3rd) ,MIN 62.0%,2678,62.0
99,0:16 - 3rd) ,MIN 57.2%,2684,57.2
100,15:00 - 4th),MIN 68.3%,2700,68.3
101,14:19 - 4th),MIN 66.4%,2741,66.4
102,13:31 - 4th),MIN 70.3%,2789,70.3
103,12:50 - 4th),MIN 75.6%,2830,75.6
104,12:18 - 4th),MIN 75.7%,2862,75.7
105,11:32 - 4th),MIN 74.2%,2908,74.2
106,11:27 - 4th),MIN 70.0%,2913,70.0
107,11:17 - 4th),MIN 73.4%,2923,73.4
108,11:03 - 4th),MIN 93.2%,2937,93.2
109,10:26 - 4th),MIN 94.3%,2974,94.3
110,9:48 - 4th) ,MIN 97.4%,3012,97.4
111,9:40 - 4th) ,MIN 97.5%,3020,97.5
112,9:12 - 4th) ,MIN 97.7%,3048,97.7
113,8:26 - 4th) ,MIN 97.2%,3094,97.2
114,8:14 - 4th) ,MIN 97.7%,3106,97.7
115,8:09 - 4th) ,MIN 98.6%,3111,98.6
116,7:28 - 4th) ,MIN 98.9%,3152,98.9
117,7:22 - 4th) ,MIN 98.6%,3158,98.6
118,7:09 - 4th) ,MIN 98.3%,3171,98.3
119,6:26 - 4th) ,MIN 98.7%,3214,98.7
120,5:41 - 4th) ,MIN 99.6%,3259,99.6
121,4:54 - 4th) ,MIN 99.7%,3306,99.7
122,4:08 - 4th) ,MIN 99.7%,3352,99.7
123,3:27 - 4th) ,MIN 99.8%,3393,99.8
124,2:41 - 4th) ,MIN 99.9%,3439,99.9
125,2:30 - 4th) ,MIN 99.8%,3450,99.8
126,2:09 - 4th) ,MIN 99.9%,3471,99.9
127,2:04 - 4th) ,MIN 99.9%,3476,99.9
128,1:58 - 4th) ,MIN 99.8%,3482,99.8
129,1:49 - 4th) ,MIN 99.8%,3491,99.8
130,1:27 - 4th) ,MIN 100%,3513,100.0
131,1:16 - 4th) ,MIN 99.6%,3524,99.6
132,0:56 - 4th) ,MIN 99.7%,3544,99.7
133,0:37 - 4th) ,MIN 99.9%,3563,99.9
134,0:27 - 4th) ,MIN 100%,3573,100.0
135,0:00 - 4th) ,MIN 100%,3600,100.0
