,raw_time,raw_win_pct,clean_time,CAR_win_pct
103,11:29 - 4th),CAR 51.4%,2911,51.4
104,10:46 - 4th),DEN 65.8%,2954,34.2
105,10:20 - 4th),DEN 65.0%,2980,35.0
106,10:16 - 4th),DEN 62.1%,2984,37.9
107,9:30 - 4th) ,DEN 61.2%,3030,38.8
108,9:26 - 4th) ,DEN 71.2%,3034,28.799999999999997
109,8:52 - 4th) ,DEN 71.4%,3068,28.599999999999994
110,8:08 - 4th) ,DEN 67.1%,3112,32.900000000000006
111,7:41 - 4th) ,DEN 69.2%,3139,30.799999999999997
112,7:04 - 4th) ,DEN 60.5%,3176,39.5
113,6:36 - 4th) ,DEN 55.3%,3204,44.7
114,5:53 - 4th) ,DEN 55.2%,3247,44.8
115,5:13 - 4th) ,DEN 58.3%,3287,41.7
116,4:28 - 4th) ,DEN 69.1%,3332,30.900000000000006
117,4:21 - 4th) ,DEN 63.8%,3339,36.2
118,4:17 - 4th) ,DEN 63.1%,3343,36.9
119,3:36 - 4th) ,DEN 52.5%,3384,47.5
120,3:17 - 4th) ,DEN 55.3%,3403,44.7
121,3:10 - 4th) ,DEN 55.3%,3410,44.7
122,3:06 - 4th) ,DEN 74.1%,3414,25.900000000000006
123,2:23 - 4th) ,DEN 77.5%,3457,22.5
124,2:15 - 4th) ,DEN 87.3%,3465,12.700000000000003
125,2:00 - 4th) ,DEN 59.0%,3480,41.0
126,1:54 - 4th) ,DEN 57.9%,3486,42.1
127,1:24 - 4th) ,DEN 65.7%,3516,34.3
128,1:19 - 4th) ,DEN 69.9%,3521,30.099999999999994
129,1:18 - 4th) ,DEN 57.7%,3522,42.3
130,0:51 - 4th) ,DEN 72.6%,3549,27.400000000000006
131,0:42 - 4th) ,DEN 75.1%,3558,24.900000000000006
132,0:36 - 4th) ,DEN 81.8%,3564,18.200000000000003
133,0:29 - 4th) ,DEN 64.2%,3571,35.8
134,0:14 - 4th) ,DEN 58.6%,3586,41.4
135,0:09 - 4th) ,DEN 100%,3591,0.0
136,0:00 - 4th) ,DEN 100%,3600,0.0
