,raw_time,raw_win_pct,clean_time,PHI_win_pct
75,11:08 - 3rd),PHI 92.5%,2032,92.5
76,10:45 - 3rd),PHI 94.2%,2055,94.2
77,10:21 - 3rd),PHI 95.3%,2079,95.3
78,9:44 - 3rd) ,PHI 95.3%,2116,95.3
79,9:04 - 3rd) ,PHI 94.6%,2156,94.6
80,8:30 - 3rd) ,PHI 95.0%,2190,95.0
81,7:54 - 3rd) ,PHI 95.6%,2226,95.6
82,7:49 - 3rd) ,PHI 93.4%,2231,93.4
83,7:16 - 3rd) ,PHI 94.4%,2264,94.4
84,7:10 - 3rd) ,PHI 92.3%,2270,92.3
85,6:22 - 3rd) ,PHI 93.3%,2318,93.3
86,6:18 - 3rd) ,PHI 93.6%,2322,93.6
87,5:41 - 3rd) ,PHI 91.0%,2359,91.0
88,4:57 - 3rd) ,PHI 90.1%,2403,90.1
89,4:18 - 3rd) ,PHI 93.3%,2442,93.3
90,4:09 - 3rd) ,PHI 91.2%,2451,91.2
91,4:08 - 3rd) ,PHI 90.5%,2452,90.5
92,3:28 - 3rd) ,PHI 89.9%,2492,89.9
93,2:45 - 3rd) ,PHI 93.5%,2535,93.5
94,2:16 - 3rd) ,PHI 96.4%,2564,96.4
95,1:41 - 3rd) ,PHI 97.3%,2599,97.3
96,1:09 - 3rd) ,PHI 95.7%,2631,95.7
97,0:27 - 3rd) ,PHI 95.5%,2673,95.5
98,0:18 - 3rd) ,PHI 96.3%,2682,96.3
99,15:00 - 4th),PHI 91.2%,2700,91.2
100,14:16 - 4th),PHI 91.4%,2744,91.4
101,13:46 - 4th),PHI 90.9%,2774,90.9
102,12:59 - 4th),PHI 90.9%,2821,90.9
103,12:51 - 4th),PHI 89.0%,2829,89.0
104,12:47 - 4th),PHI 91.1%,2833,91.1
105,12:37 - 4th),PHI 88.9%,2843,88.9
106,12:05 - 4th),PHI 90.1%,2875,90.1
107,11:36 - 4th),PHI 91.1%,2904,91.1
108,11:30 - 4th),PHI 94.0%,2910,94.0
109,10:49 - 4th),PHI 92.5%,2951,92.5
110,10:41 - 4th),PHI 91.2%,2959,91.2
111,10:02 - 4th),PHI 90.7%,2998,90.7
112,9:14 - 4th) ,PHI 91.4%,3046,91.4
113,9:09 - 4th) ,PHI 90.4%,3051,90.4
114,8:31 - 4th) ,PHI 93.5%,3089,93.5
115,8:19 - 4th) ,PHI 94.1%,3101,94.1
116,7:45 - 4th) ,PHI 94.0%,3135,94.0
117,7:08 - 4th) ,PHI 92.0%,3172,92.0
118,6:32 - 4th) ,PHI 94.0%,3208,94.0
119,6:02 - 4th) ,PHI 95.1%,3238,95.1
120,5:32 - 4th) ,PHI 91.3%,3268,91.3
121,4:58 - 4th) ,PHI 93.9%,3302,93.9
122,4:48 - 4th) ,PHI 90.8%,3312,90.8
123,4:44 - 4th) ,PHI 87.0%,3316,87.0
124,4:22 - 4th) ,PHI 91.6%,3338,91.6
125,3:51 - 4th) ,PHI 79.5%,3369,79.5
126,3:49 - 4th) ,PHI 72.6%,3371,72.6
127,3:03 - 4th) ,PHI 72.5%,3417,72.5
128,2:21 - 4th) ,PHI 91.9%,3459,91.9
129,2:00 - 4th) ,PHI 86.1%,3480,86.1
130,1:55 - 4th) ,PHI 88.3%,3485,88.3
131,1:50 - 4th) ,PHI 89.6%,3490,89.6
132,1:06 - 4th) ,PHI 99.9%,3534,99.9
133,0:37 - 4th) ,PHI 99.9%,3563,99.9
134,0:00 - 4th) ,PHI 100%,3600,100.0
