,raw_time,raw_win_pct,clean_time,LV_win_pct
67,10:56 - 3rd),LAC 82.4%,2044,17.599999999999994
68,10:21 - 3rd),LAC 81.1%,2079,18.900000000000006
69,9:38 - 3rd) ,LAC 79.9%,2122,20.099999999999994
70,8:59 - 3rd) ,LAC 84.5%,2161,15.5
71,8:16 - 3rd) ,LAC 83.9%,2204,16.099999999999994
72,7:38 - 3rd) ,LAC 87.2%,2242,12.799999999999997
73,6:57 - 3rd) ,LAC 86.0%,2283,14.0
74,6:42 - 3rd) ,LAC 91.0%,2298,9.0
75,6:03 - 3rd) ,LAC 90.9%,2337,9.099999999999994
76,5:19 - 3rd) ,LAC 89.5%,2381,10.5
77,4:40 - 3rd) ,LAC 89.9%,2420,10.099999999999994
78,3:58 - 3rd) ,LAC 90.8%,2462,9.200000000000003
79,3:55 - 3rd) ,LAC 91.8%,2465,8.200000000000003
80,3:49 - 3rd) ,LAC 88.3%,2471,11.700000000000003
81,3:07 - 3rd) ,LAC 90.6%,2513,9.400000000000006
82,2:18 - 3rd) ,LAC 91.9%,2562,8.099999999999994
83,1:58 - 3rd) ,LAC 92.8%,2582,7.200000000000003
84,1:53 - 3rd) ,LAC 94.1%,2587,5.900000000000006
85,1:03 - 3rd) ,LAC 90.1%,2637,9.900000000000006
86,0:24 - 3rd) ,LAC 89.9%,2676,10.099999999999994
87,0:00 - 3rd) ,LAC 90.8%,2700,9.200000000000003
88,14:53 - 4th),LAC 89.3%,2707,10.700000000000003
89,14:41 - 4th),LAC 88.5%,2719,11.5
90,14:02 - 4th),LAC 85.9%,2758,14.099999999999994
91,13:20 - 4th),LAC 90.6%,2800,9.400000000000006
92,13:09 - 4th),LAC 88.3%,2811,11.700000000000003
93,12:38 - 4th),LAC 88.4%,2842,11.599999999999994
94,12:33 - 4th),LAC 88.2%,2847,11.799999999999997
95,11:48 - 4th),LAC 89.6%,2892,10.400000000000006
96,11:39 - 4th),LAC 87.6%,2901,12.400000000000006
97,11:07 - 4th),LAC 95.8%,2933,4.200000000000003
98,11:00 - 4th),LAC 95.6%,2940,4.400000000000006
99,10:20 - 4th),LAC 95.4%,2980,4.599999999999994
100,9:47 - 4th) ,LAC 97.0%,3013,3.0
101,9:05 - 4th) ,LAC 96.8%,3055,3.200000000000003
102,8:23 - 4th) ,LAC 96.7%,3097,3.299999999999997
103,7:42 - 4th) ,LAC 96.4%,3138,3.5999999999999943
104,7:37 - 4th) ,LAC 92.3%,3143,7.700000000000003
105,7:33 - 4th) ,LAC 90.7%,3147,9.299999999999997
106,6:59 - 4th) ,LAC 93.0%,3181,7.0
107,6:53 - 4th) ,LAC 93.8%,3187,6.200000000000003
108,6:10 - 4th) ,LAC 90.1%,3230,9.900000000000006
109,5:28 - 4th) ,LAC 83.4%,3272,16.599999999999994
110,4:40 - 4th) ,LAC 88.8%,3320,11.200000000000003
111,4:32 - 4th) ,LAC 80.0%,3328,20.0
112,3:47 - 4th) ,LAC 82.9%,3373,17.099999999999994
113,3:39 - 4th) ,LAC 79.0%,3381,21.0
114,3:25 - 4th) ,LAC 77.9%,3395,22.099999999999994
115,2:43 - 4th) ,LAC 79.2%,3437,20.799999999999997
116,2:40 - 4th) ,LAC 89.9%,3440,10.099999999999994
117,2:00 - 4th) ,LAC 98.0%,3480,2.0
118,1:46 - 4th) ,LAC 97.1%,3494,2.9000000000000057
119,1:41 - 4th) ,LAC 99.9%,3499,0.09999999999999432
120,0:58 - 4th) ,LAC 99.9%,3542,0.09999999999999432
121,0:53 - 4th) ,LAC 99.9%,3547,0.09999999999999432
122,0:33 - 4th) ,LAC 99.9%,3567,0.09999999999999432
123,0:00 - 4th) ,LAC 100%,3600,0.0
