,raw_time,raw_win_pct,clean_time,HOU_win_pct
86,6:35 - 3rd) ,DEN 56.9%,2305,43.1
87,6:04 - 3rd) ,DEN 55.2%,2336,44.8
88,5:41 - 3rd) ,DEN 58.5%,2359,41.5
89,5:01 - 3rd) ,DEN 54.6%,2399,45.4
90,4:15 - 3rd) ,HOU 53.4%,2445,53.4
91,3:24 - 3rd) ,HOU 54.6%,2496,54.6
92,3:02 - 3rd) ,HOU 53.0%,2518,53.0
93,2:22 - 3rd) ,HOU 50.6%,2558,50.6
94,1:48 - 3rd) ,DEN 51.6%,2592,48.4
95,1:45 - 3rd) ,HOU 50.6%,2595,50.6
96,1:32 - 3rd) ,HOU 53.0%,2608,53.0
97,0:58 - 3rd) ,HOU 56.3%,2642,56.3
98,0:36 - 3rd) ,HOU 58.8%,2664,58.8
99,15:00 - 4th),DEN 56.0%,2700,44.0
100,14:15 - 4th),DEN 56.5%,2745,43.5
101,13:30 - 4th),DEN 57.9%,2790,42.1
102,12:37 - 4th),DEN 64.7%,2843,35.3
103,11:51 - 4th),DEN 69.8%,2889,30.200000000000003
104,11:46 - 4th),DEN 63.2%,2894,36.8
105,11:22 - 4th),DEN 69.0%,2918,31.0
106,10:42 - 4th),DEN 69.7%,2958,30.299999999999997
107,10:37 - 4th),DEN 74.9%,2963,25.099999999999994
108,9:55 - 4th) ,DEN 74.2%,3005,25.799999999999997
109,9:48 - 4th) ,DEN 71.4%,3012,28.599999999999994
110,9:08 - 4th) ,DEN 77.2%,3052,22.799999999999997
111,8:23 - 4th) ,DEN 72.9%,3097,27.099999999999994
112,7:38 - 4th) ,DEN 81.3%,3142,18.700000000000003
113,6:54 - 4th) ,DEN 79.6%,3186,20.400000000000006
114,6:12 - 4th) ,DEN 84.8%,3228,15.200000000000003
115,5:23 - 4th) ,DEN 82.3%,3277,17.700000000000003
116,5:21 - 4th) ,DEN 88.4%,3279,11.599999999999994
117,4:37 - 4th) ,DEN 85.2%,3323,14.799999999999997
118,4:32 - 4th) ,DEN 86.0%,3328,14.0
119,4:25 - 4th) ,DEN 82.1%,3335,17.900000000000006
120,3:36 - 4th) ,DEN 84.2%,3384,15.799999999999997
121,3:06 - 4th) ,DEN 80.2%,3414,19.799999999999997
122,2:38 - 4th) ,DEN 88.5%,3442,11.5
123,2:00 - 4th) ,DEN 87.4%,3480,12.599999999999994
124,1:31 - 4th) ,DEN 91.5%,3509,8.5
125,1:22 - 4th) ,DEN 96.3%,3518,3.700000000000003
126,1:09 - 4th) ,DEN 94.9%,3531,5.099999999999994
127,1:04 - 4th) ,DEN 95.9%,3536,4.099999999999994
128,0:53 - 4th) ,DEN 98.5%,3547,1.5
129,0:28 - 4th) ,DEN 99.7%,3572,0.29999999999999716
130,0:17 - 4th) ,DEN 99.9%,3583,0.09999999999999432
131,0:13 - 4th) ,DEN 99.9%,3587,0.09999999999999432
132,0:00 - 4th) ,DEN 100%,3600,0.0
