,raw_time,raw_win_pct,clean_time,TB_win_pct
123,3:39 - 4th) ,TB 99.7%,3381,99.7
124,3:15 - 4th) ,TB 99.7%,3405,99.7
125,3:11 - 4th) ,TB 99.8%,3409,99.8
126,3:01 - 4th) ,TB 99.6%,3419,99.6
127,2:52 - 4th) ,TB 99.4%,3428,99.4
128,2:46 - 4th) ,TB 99.6%,3434,99.6
129,2:36 - 4th) ,TB 97.2%,3444,97.2
130,2:22 - 4th) ,TB 99.6%,3458,99.6
131,2:00 - 4th) ,TB 99.8%,3480,99.8
132,1:14 - 4th) ,TB 99.9%,3526,99.9
133,1:02 - 4th) ,TB 99.9%,3538,99.9
134,0:30 - 4th) ,TB 99.9%,3570,99.9
135,0:08 - 4th) ,TB 99.9%,3592,99.9
136,0:00 - 4th) ,TB 100%,3600,100.0
