,raw_time,raw_win_pct,clean_time,HOU_win_pct
61,0:19 - 2nd) ,HOU 54.3%,1781,54.3
62,15:00 - 3rd),HOU 60.5%,1800,60.5
63,14:32 - 3rd),HOU 60.4%,1828,60.4
64,13:50 - 3rd),HOU 59.2%,1870,59.2
65,13:17 - 3rd),HOU 62.8%,1903,62.8
66,13:12 - 3rd),HOU 60.5%,1908,60.5
67,13:08 - 3rd),HOU 64.1%,1912,64.1
68,12:20 - 3rd),HOU 58.8%,1960,58.8
69,11:25 - 3rd),HOU 51.3%,2015,51.3
70,10:33 - 3rd),CHI 55.2%,2067,44.8
71,9:52 - 3rd) ,HOU 50.2%,2108,50.2
72,9:11 - 3rd) ,HOU 52.2%,2149,52.2
73,8:25 - 3rd) ,CHI 60.1%,2195,39.9
74,7:52 - 3rd) ,CHI 56.4%,2228,43.6
75,7:06 - 3rd) ,CHI 55.5%,2274,44.5
76,6:28 - 3rd) ,CHI 59.7%,2312,40.3
77,5:40 - 3rd) ,CHI 62.9%,2360,37.1
78,5:37 - 3rd) ,CHI 54.5%,2363,45.5
79,4:52 - 3rd) ,HOU 50.2%,2408,50.2
80,4:07 - 3rd) ,HOU 50.3%,2453,50.3
81,4:02 - 3rd) ,CHI 50.5%,2458,49.5
82,3:25 - 3rd) ,HOU 55.3%,2495,55.3
83,2:47 - 3rd) ,HOU 53.5%,2533,53.5
84,2:15 - 3rd) ,HOU 51.0%,2565,51.0
85,1:32 - 3rd) ,CHI 52.8%,2608,47.2
86,0:54 - 3rd) ,CHI 51.9%,2646,48.1
87,0:47 - 3rd) ,CHI 51.0%,2653,49.0
88,0:41 - 3rd) ,HOU 51.7%,2659,51.7
89,0:00 - 3rd) ,HOU 50.1%,2700,50.1
90,14:49 - 4th),HOU 57.9%,2711,57.9
91,14:14 - 4th),HOU 53.6%,2746,53.6
92,13:33 - 4th),CHI 50.6%,2787,49.4
93,12:38 - 4th),HOU 50.7%,2842,50.7
94,11:52 - 4th),CHI 51.9%,2888,48.1
95,11:11 - 4th),HOU 50.1%,2929,50.1
96,10:33 - 4th),HOU 51.9%,2967,51.9
97,9:55 - 4th) ,CHI 57.8%,3005,42.2
98,9:04 - 4th) ,CHI 52.3%,3056,47.7
99,9:00 - 4th) ,CHI 61.0%,3060,39.0
100,8:23 - 4th) ,CHI 61.9%,3097,38.1
101,7:51 - 4th) ,CHI 54.5%,3129,45.5
102,7:28 - 4th) ,CHI 55.7%,3152,44.3
103,7:17 - 4th) ,CHI 51.0%,3163,49.0
104,6:46 - 4th) ,CHI 50.0%,3194,50.0
105,6:39 - 4th) ,CHI 57.6%,3201,42.4
106,5:51 - 4th) ,CHI 61.5%,3249,38.5
107,5:18 - 4th) ,HOU 57.3%,3282,57.3
108,4:32 - 4th) ,HOU 54.6%,3328,54.6
109,4:27 - 4th) ,HOU 50.8%,3333,50.8
110,3:55 - 4th) ,CHI 52.2%,3365,47.8
111,3:50 - 4th) ,CHI 55.6%,3370,44.4
112,3:05 - 4th) ,CHI 59.7%,3415,40.3
113,2:58 - 4th) ,HOU 50.8%,3422,50.8
114,2:00 - 4th) ,CHI 57.1%,3480,42.9
115,1:59 - 4th) ,HOU 62.2%,3481,62.2
116,1:52 - 4th) ,HOU 52.2%,3488,52.2
117,1:37 - 4th) ,CHI 59.3%,3503,40.7
118,1:05 - 4th) ,CHI 87.3%,3535,12.700000000000003
119,1:01 - 4th) ,CHI 85.4%,3539,14.599999999999994
120,0:18 - 4th) ,CHI 91.5%,3582,8.5
121,0:00 - 4th) ,CHI 100%,3600,0.0
