,raw_time,raw_win_pct,clean_time,DAL_win_pct
71,13:43 - 3rd),DAL 54.8%,1877,54.8
72,13:38 - 3rd),DAL 56.7%,1882,56.7
73,13:11 - 3rd),DAL 55.3%,1909,55.3
74,12:39 - 3rd),DAL 55.7%,1941,55.7
75,12:12 - 3rd),NYG 51.6%,1968,48.4
76,11:27 - 3rd),NYG 50.5%,2013,49.5
77,10:55 - 3rd),DAL 57.3%,2045,57.3
78,10:11 - 3rd),DAL 54.4%,2089,54.4
79,9:43 - 3rd) ,DAL 53.7%,2117,53.7
80,9:02 - 3rd) ,NYG 53.6%,2158,46.4
81,8:21 - 3rd) ,NYG 54.8%,2199,45.2
82,8:13 - 3rd) ,NYG 56.3%,2207,43.7
83,8:07 - 3rd) ,NYG 53.9%,2213,46.1
84,8:00 - 3rd) ,NYG 52.3%,2220,47.7
85,7:32 - 3rd) ,NYG 56.6%,2248,43.4
86,7:08 - 3rd) ,NYG 59.3%,2272,40.7
87,6:40 - 3rd) ,NYG 57.5%,2300,42.5
88,6:16 - 3rd) ,NYG 61.7%,2324,38.3
89,5:31 - 3rd) ,NYG 72.8%,2369,27.200000000000003
90,4:51 - 3rd) ,NYG 70.2%,2409,29.799999999999997
91,4:15 - 3rd) ,NYG 75.9%,2445,24.099999999999994
92,3:36 - 3rd) ,NYG 71.5%,2484,28.5
93,2:59 - 3rd) ,NYG 65.1%,2521,34.900000000000006
94,2:14 - 3rd) ,NYG 59.7%,2566,40.3
95,1:43 - 3rd) ,NYG 65.1%,2597,34.900000000000006
96,1:09 - 3rd) ,NYG 67.9%,2631,32.099999999999994
97,0:27 - 3rd) ,NYG 58.8%,2673,41.2
98,0:04 - 3rd) ,NYG 56.1%,2696,43.9
99,15:00 - 4th),NYG 59.2%,2700,40.8
100,14:49 - 4th),NYG 52.9%,2711,47.1
101,14:42 - 4th),NYG 54.5%,2718,45.5
102,14:09 - 4th),NYG 55.0%,2751,45.0
103,13:30 - 4th),DAL 51.1%,2790,51.1
104,13:01 - 4th),DAL 54.1%,2819,54.1
105,12:25 - 4th),DAL 57.9%,2855,57.9
106,11:45 - 4th),DAL 57.6%,2895,57.6
107,11:09 - 4th),DAL 57.0%,2931,57.0
108,10:32 - 4th),DAL 50.1%,2968,50.1
109,10:27 - 4th),DAL 62.1%,2973,62.1
110,10:06 - 4th),DAL 65.3%,2994,65.3
111,9:21 - 4th) ,DAL 76.7%,3039,76.7
112,8:30 - 4th) ,DAL 85.1%,3090,85.1
113,7:58 - 4th) ,DAL 86.5%,3122,86.5
114,7:49 - 4th) ,DAL 90.0%,3131,90.0
115,7:44 - 4th) ,DAL 93.2%,3136,93.2
116,7:32 - 4th) ,DAL 94.4%,3148,94.4
117,6:46 - 4th) ,DAL 93.0%,3194,93.0
118,6:06 - 4th) ,DAL 92.7%,3234,92.7
119,5:58 - 4th) ,DAL 93.2%,3242,93.2
120,5:34 - 4th) ,DAL 94.7%,3266,94.7
121,5:09 - 4th) ,DAL 92.6%,3291,92.6
122,4:41 - 4th) ,DAL 91.0%,3319,91.0
123,4:34 - 4th) ,DAL 91.0%,3326,91.0
124,4:08 - 4th) ,DAL 89.8%,3352,89.8
125,4:02 - 4th) ,DAL 90.8%,3358,90.8
126,3:52 - 4th) ,DAL 94.5%,3368,94.5
127,3:37 - 4th) ,DAL 91.9%,3383,91.9
128,3:32 - 4th) ,DAL 95.0%,3388,95.0
129,2:46 - 4th) ,DAL 95.1%,3434,95.1
130,2:40 - 4th) ,DAL 94.0%,3440,94.0
131,2:00 - 4th) ,DAL 94.2%,3480,94.2
132,1:45 - 4th) ,DAL 97.0%,3495,97.0
133,1:22 - 4th) ,DAL 97.3%,3518,97.3
134,1:11 - 4th) ,DAL 99.9%,3529,99.9
135,0:39 - 4th) ,DAL 99.9%,3561,99.9
136,0:00 - 4th) ,DAL 100%,3600,100.0
