,raw_time,raw_win_pct,clean_time,LAC_win_pct
124,3:36 - 4th) ,KC 98.0%,3384,2.0
125,3:32 - 4th) ,KC 98.8%,3388,1.2000000000000028
126,3:16 - 4th) ,KC 97.2%,3404,2.799999999999997
127,2:50 - 4th) ,KC 97.5%,3430,2.5
128,2:45 - 4th) ,KC 97.8%,3435,2.200000000000003
129,2:11 - 4th) ,KC 99.4%,3469,0.5999999999999943
130,2:05 - 4th) ,KC 92.9%,3475,7.099999999999994
131,2:00 - 4th) ,KC 91.5%,3480,8.5
132,1:50 - 4th) ,KC 94.7%,3490,5.299999999999997
133,1:38 - 4th) ,KC 96.1%,3502,3.9000000000000057
134,1:35 - 4th) ,KC 97.2%,3505,2.799999999999997
135,1:11 - 4th) ,KC 95.8%,3529,4.200000000000003
136,0:30 - 4th) ,KC 97.4%,3570,2.5999999999999943
137,0:00 - 4th) ,KC 100%,3600,0.0
